,Team,Offensive Efficiency,Effective Field Goal %,True Shooting %,Total Rebounding %,Block %,Assist/Turnover Ratio,Defensive Efficiency,Win %,Last 10 Rating,Strength of Schedule,Year
1778,Nevada,0.7047353760445683,0.5888324873096447,0.6315789473684208,0.5974025974025974,0.5108695652173911,0.6633204633204633,-0.44771241830065334,0.8200620475698036,0.6931608133086875,0.5766129032258065,2017
1779,Louisville,0.6991643454038998,0.532994923857868,0.5373961218836563,0.6948051948051948,0.8152173913043477,0.508880308880309,-0.22222222222222232,0.8200620475698036,0.8743068391866913,0.9758064516129032,2017
1780,Belmont,0.6991643454038998,0.796954314720812,0.8421052631578947,0.5649350649350646,0.19565217391304346,0.5366795366795366,-0.4934640522875817,0.8355739400206826,0.6284658040665434,0.47580645161290325,2017
1781,Utah,0.6880222841225625,0.7918781725888322,0.7811634349030472,0.7662337662337659,0.3152173913043477,0.40463320463320473,-0.4379084967320259,0.6359875904860394,0.6580406654343807,0.689516129032258,2017
1782,Fla Gulf Cst,0.6880222841225625,0.6649746192893398,0.6731301939058172,0.6818181818181821,0.33695652173913043,0.42316602316602325,-0.5555555555555554,0.7755946225439504,0.5711645101663585,0.4274193548387097,2017
1783,Wm & Mary,0.6824512534818941,0.766497461928934,0.7756232686980611,0.48051948051948035,0.5326086956521738,0.6077220077220077,-0.7647058823529411,0.5367114788004137,0.587800369685767,0.5120967741935484,2017
1784,Hofstra,0.6768802228412256,0.532994923857868,0.5512465373961217,0.46103896103896114,0.13043478260869557,0.48416988416988427,-0.8104575163398691,0.4829369183040331,0.5046210720887245,0.4717741935483871,2017
1785,Central Mich,0.6740947075208914,0.5380710659898478,0.6398891966759002,0.22727272727272751,0.14130434782608692,0.33050193050193055,-0.905228758169935,0.5170630816959669,0.3604436229205175,0.407258064516129,2017
1786,E Washingtn,0.6740947075208914,0.6497461928934007,0.7146814404432131,0.5064935064935066,0.6195652173913042,0.33976833976833976,-0.7091503267973858,0.6897621509824199,0.5304990757855822,0.35080645161290325,2017
1787,Wisconsin,0.6713091922005572,0.5431472081218272,0.5263157894736841,0.7922077922077921,0.467391304347826,0.5312741312741313,-0.2549019607843137,0.7849017580144778,0.720887245841035,0.8911290322580645,2017
1788,Weber State,0.6713091922005572,0.7563451776649743,0.8116343490304709,0.22727272727272751,0.27173913043478254,0.4030888030888031,-0.6666666666666665,0.579110651499483,0.41404805914972265,0.38306451612903225,2017
1789,Middle Tenn,0.6713091922005572,0.6548223350253806,0.6315789473684208,0.6558441558441559,0.32608695652173897,0.6679536679536681,-0.3202614379084965,0.8862461220268874,0.6894639556377078,0.5362903225806451,2017
1790,Florida,0.668523676880223,0.5431472081218272,0.6232686980609419,0.5259740259740262,0.6086956521739129,0.40463320463320473,-0.2124183006535949,0.8200620475698036,0.9963031423290203,0.939516129032258,2017
1791,N Mex State,0.668523676880223,0.578680203045685,0.6260387811634347,0.7142857142857144,0.3478260869565217,0.41081081081081094,-0.4117647058823528,0.8355739400206826,0.5249537892791127,0.3548387096774194,2017
