,Team,Strength of Schedule,Year
2560,Penn,0.5073529411764706,2019
2561,Lipscomb,0.5073529411764706,2019
2562,La Salle,0.5036764705882353,2019
2563,N Iowa,0.5036764705882353,2019
2564,Akron,0.5,2019
2565,George Mason,0.5,2019
2566,Loyola Chi,0.5,2019
2567,S Florida,0.4963235294117647,2019
2568,UNLV,0.4963235294117647,2019
2569,Grand Canyon,0.4963235294117647,2019
2570,Illinois St,0.49264705882352944,2019
2571,UT Arlington,0.49264705882352944,2019
2572,Yale,0.49264705882352944,2019
2573,Indiana St,0.48897058823529416,2019
2574,Tulane,0.48897058823529416,2019
2575,Colorado St,0.48897058823529416,2019
2576,E Tennessee St,0.4852941176470588,2019
2577,Marshall,0.4852941176470588,2019
2578,Ohio,0.4852941176470588,2019
2579,E Michigan,0.4852941176470588,2019
2580,Belmont,0.48161764705882354,2019
2581,Drake,0.47794117647058826,2019
2582,UC Irvine,0.47794117647058826,2019
2583,G Washington,0.47794117647058826,2019
2584,Furman,0.47794117647058826,2019
2585,Middle Tenn,0.474264705882353,2019
2586,Missouri St,0.4705882352941177,2019
2587,Loyola Mymt,0.4705882352941177,2019
2588,UMass,0.4705882352941177,2019
2589,N Illinois,0.46691176470588236,2019
2590,New Mexico St,0.46691176470588236,2019
2591,Long Beach St,0.4632352941176471,2019
2592,Utah Valley,0.4632352941176471,2019
2593,Evansville,0.4632352941176471,2019
2594,Pepperdine,0.4632352941176471,2019
2595,CS Fullerton,0.4595588235294118,2019
2596,Vermont,0.4595588235294118,2019
2597,Valparaiso,0.4558823529411765,2019
2598,Pacific,0.4558823529411765,2019
2599,Kent St,0.4522058823529412,2019
2600,Bucknell,0.4522058823529412,2019
2601,Duquesne,0.4522058823529412,2019
2602,Old Dominion,0.4522058823529412,2019
2603,NC Greensboro,0.4485294117647059,2019
2604,UL Monroe,0.4448529411764706,2019
2605,App State,0.4448529411764706,2019
2606,Charleston,0.4448529411764706,2019
2607,Bowling Green,0.4448529411764706,2019
2608,Bradley,0.44117647058823534,2019
2609,William & Mary,0.44117647058823534,2019
2610,Louisiana,0.44117647058823534,2019
2611,Charlotte,0.4375,2019
2612,Richmond,0.4375,2019
2613,Santa Clara,0.4375,2019
2614,Coastal Car,0.4338235294117647,2019
2615,Princeton,0.4338235294117647,2019
2616,C Michigan,0.43014705882352944,2019
2617,Detroit Mercy,0.43014705882352944,2019
2618,Kansas City,0.43014705882352944,2019
2619,W Michigan,0.42647058823529416,2019
2620,Mercer,0.42647058823529416,2019
2621,UC Davis,0.42647058823529416,2019
2622,Air Force,0.42647058823529416,2019
2623,UTSA,0.4227941176470589,2019
2624,Wyoming,0.4227941176470589,2019
2625,Radford,0.41911764705882354,2019
2626,Hofstra,0.41911764705882354,2019
2627,Murray St,0.41911764705882354,2019
2628,W Carolina,0.41911764705882354,2019
2629,Wright St,0.41911764705882354,2019
2630,Montana,0.41544117647058826,2019
2631,Omaha,0.41544117647058826,2019
2632,S Dakota St,0.411764705882353,2019
2633,Brown,0.411764705882353,2019
2634,Louisiana Tech,0.40808823529411764,2019
2635,N Florida,0.40808823529411764,2019
2636,Southern Miss,0.40808823529411764,2019
2637,Green Bay,0.40441176470588236,2019
2638,Cornell,0.40441176470588236,2019
2639,Oakland,0.40441176470588236,2019
2640,NC Wilmington,0.40441176470588236,2019
2641,UAB,0.40441176470588236,2019
2642,Texas St,0.4007352941176471,2019
2643,Colgate,0.4007352941176471,2019
2644,Lehigh,0.4007352941176471,2019
2645,E Carolina,0.4007352941176471,2019
2646,Monmouth,0.4007352941176471,2019
2647,Florida Atlantic,0.3970588235294118,2019
2648,Arkansas St,0.3970588235294118,2019
2649,Troy,0.3933823529411765,2019
2650,Dartmouth,0.3897058823529412,2019
2651,N Dakota St,0.3897058823529412,2019
2652,Samford,0.3897058823529412,2019
2653,Canisius,0.3860294117647059,2019
2654,UT Rio Grande,0.3860294117647059,2019
2655,Holy Cross,0.3860294117647059,2019
2656,Morehead St,0.3860294117647059,2019
2657,Drexel,0.3860294117647059,2019
2658,Columbia,0.3823529411764706,2019
2659,Rice,0.3823529411764706,2019
2660,FGCU,0.3823529411764706,2019
2661,Towson,0.3786764705882353,2019
2662,Little Rock,0.3786764705882353,2019
2663,Illinois Chicago,0.3786764705882353,2019
2664,Liberty,0.3786764705882353,2019
2665,Oral Roberts,0.3786764705882353,2019
2666,Hartford,0.3786764705882353,2019
2667,E Washington,0.3786764705882353,2019
2668,N Kentucky,0.375,2019
2669,Jacksonville St,0.375,2019
2670,Rider,0.3713235294117647,2019
2671,N Texas,0.36764705882352944,2019
2672,South Dakota,0.36764705882352944,2019
2673,Purdue FW,0.36764705882352944,2019
2674,Hawai'i,0.36397058823529416,2019
2675,Austin Peay,0.36397058823529416,2019
2676,Montana St,0.36397058823529416,2019
2677,Fordham,0.3602941176470588,2019
2678,Iona,0.3602941176470588,2019
2679,The Citadel,0.35661764705882354,2019
2680,E Kentucky,0.35661764705882354,2019
2681,Weber St,0.35661764705882354,2019
2682,UTEP,0.35294117647058826,2019
2683,Portland,0.35294117647058826,2019
2684,Loyola MD,0.35294117647058826,2019
2685,Winthrop,0.35294117647058826,2019
2686,Boston U,0.35294117647058826,2019
2687,Navy,0.35294117647058826,2019
2688,San Jose St,0.35294117647058826,2019
2689,Youngstown St,0.35294117647058826,2019
2690,J Madison,0.3492647058823529,2019
2691,N Colorado,0.3492647058823529,2019
2692,UCSB,0.34558823529411764,2019
2693,Milwaukee,0.34558823529411764,2019
2694,Florida Intl,0.34558823529411764,2019
2695,Denver,0.34558823529411764,2019
2696,S Alabama,0.34558823529411764,2019
2697,IU Indy,0.34558823529411764,2019
2698,Maine,0.34191176470588236,2019
2699,Siena,0.3382352941176471,2019
2700,High Point,0.3308823529411765,2019
2701,Cleveland St,0.3308823529411765,2019
2702,CS Bakersfield,0.3308823529411765,2019
2703,Lafayette,0.3308823529411765,2019
2704,Delaware,0.3308823529411765,2019
2705,Stony Brook,0.3308823529411765,2019
2706,Elon,0.3308823529411765,2019
2707,Chattanooga,0.32720588235294124,2019
2708,Seattle,0.32720588235294124,2019
2709,Marist,0.32720588235294124,2019
2710,NJIT,0.32720588235294124,2019
2711,CS Northridge,0.32720588235294124,2019
2712,Hampton,0.3235294117647059,2019
2713,Sam Houston,0.3235294117647059,2019
2714,Army,0.3235294117647059,2019
2715,Idaho St,0.3198529411764706,2019
2716,N Arizona,0.3198529411764706,2019
2717,Fairfield,0.3161764705882353,2019
2718,Saint Peter's,0.3161764705882353,2019
2719,Quinnipiac,0.3125,2019
2720,Manhattan,0.3125,2019
2721,Texas So,0.3088235294117647,2019
2722,UC Riverside,0.3088235294117647,2019
2723,Charleston So,0.30514705882352944,2019
2724,Gardner-Webb,0.30514705882352944,2019
2725,American,0.30514705882352944,2019
2726,Presbyterian,0.30514705882352944,2019
2727,Campbell,0.30147058823529416,2019
2728,Hou Christian,0.30147058823529416,2019
2729,VMI,0.2977941176470588,2019
2730,Tennessee St,0.2977941176470588,2019
2731,Cal Poly,0.2977941176470588,2019
2732,North Dakota,0.29411764705882354,2019
2733,E Illinois,0.29411764705882354,2019
2734,UMBC,0.29411764705882354,2019
2735,Albany,0.29411764705882354,2019
2736,UT Martin,0.29044117647058826,2019
2737,Niagara,0.29044117647058826,2019
2738,N Alabama,0.28308823529411764,2019
2739,S Utah,0.28308823529411764,2019
2740,Sacred Heart,0.28308823529411764,2019
2741,Cal Baptist,0.27941176470588236,2019
2742,Jacksonville,0.27941176470588236,2019
2743,Sacramento St,0.27941176470588236,2019
2744,UMass Lowell,0.2757352941176471,2019
2745,Prairie View,0.2757352941176471,2019
2746,SE Louisiana,0.2720588235294118,2019
2747,SE Missouri St,0.2720588235294118,2019
2748,Portland St,0.2720588235294118,2019
2749,St Francis PA,0.2720588235294118,2019
2750,Kennesaw St,0.2683823529411765,2019
2751,Lamar,0.26470588235294124,2019
2752,W Illinois,0.2610294117647059,2019
2753,C Arkansas,0.2610294117647059,2019
2754,Texas A&M-CC,0.2573529411764706,2019
2755,Wagner,0.25,2019
2756,LIU-Brooklyn,0.25,2019
2757,Bryant,0.25,2019
2758,F Dickinson,0.25,2019
2759,Binghamton,0.24632352941176472,2019
2760,Tenn Tech,0.24632352941176472,2019
2761,St Fran (NY),0.24632352941176472,2019
2762,Abl Christian,0.2426470588235294,2019
2763,Robert Morris,0.2426470588235294,2019
